doc_id,num_code,agency_id,effect,type,is_outstanding,date_issued,date_effective,date_published,sign_person_id,status_id,num_gazette,created_at,updated_at
26,963/QĐ-UBND,Tỉnh Bắc Giang,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Ô Pích,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
27,46/2022/QĐ-UBND,Tỉnh Thanh Hóa,Còn hiệu lực,Quyết định,0,23/09/2022,10/10/2022,23/09/2022,Đỗ Minh Tuấn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
28,1973/QĐ-UBND,Tỉnh Sơn La,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Quốc Khánh,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
29,2159/QĐ-UBND,Tỉnh Bến Tre,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Ngọc Tam,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
30,24/2022/QĐ-UBND,Tỉnh Cà Mau,Còn hiệu lực,Quyết định,0,23/09/2022,07/10/2022,23/09/2022,Huỳnh Quốc Việt,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
31,2160/QĐ-UBND,Tỉnh Bến Tre,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Ngọc Tam,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
32,6033/KH-UBND,Tỉnh Bến Tre,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Trần Ngọc Tam,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
33,6040/KH-UBND,Tỉnh Bến Tre,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Trần Ngọc Tam,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
34,274/CT-BVHTTDL,Bộ Văn hoá, Thể thao và du lịch,Còn hiệu lực,Chỉ thị,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Văn Hùng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
35,24/2022/QĐ-UBND,Tỉnh Lạng Sơn,Còn hiệu lực,Quyết định,0,23/09/2022,10/10/2022,23/09/2022,Hồ Tiến Thiệu,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
36,2162/QĐ-UBND,Tỉnh Bến Tre,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Ngọc Tam,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
37,3229/QĐ-UBND,Thành phố Hồ Chí Minh,Còn hiệu lực,Quyết định,0,23/09/2022,23/12/2022,23/09/2022,Phan Văn Mãi,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
38,237/KH-UBND,Tỉnh Sơn La,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Quốc Khánh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
39,2880/QĐ-UBND,Tỉnh Nghệ An,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Nghĩa Hiếu,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
40,1298/QĐ-UBND,Tỉnh Quảng Ngãi,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Đặng Văn Minh,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
41,1304/QĐ-UBND,Tỉnh Quảng Ngãi,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Hoàng Tuấn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
42,1223/QĐ-BGTVT,Bộ Giao thông vận tải,Còn hiệu lực,Quyết định,0,23/09/2022,01/10/2022,23/09/2022,Nguyễn Văn Thể,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
43,236/KH-UBND,Tỉnh Sơn La,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Quốc Khánh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
44,2477/QĐ-UBND,Tỉnh Quảng Trị,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Đức Tiến,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
45,159/KH-UBND,Tỉnh Hậu Giang,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Hồ Thu Ánh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
46,2478/QĐ-UBND,Tỉnh Quảng Trị,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Võ Văn Hưng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
47,3457/QĐ-UBND,Thành phố Hà Nội,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Lê Hồng Sơn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
48,13/CT-UBND,Tỉnh Hải Dương,Còn hiệu lực,Chỉ thị,0,23/09/2022,23/09/2022,23/09/2022,Triệu Thế Hùng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
49,2543/QĐ-UBND,Tỉnh Quảng Nam,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Văn Tân,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
50,47/2022/QĐ-UBND,Tỉnh Thừa Thiên Huế,Còn hiệu lực,Quyết định,0,23/09/2022,03/10/2022,23/09/2022,Phan Quý Phương,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
51,203/KH-UBND,Tỉnh Kiên Giang,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Thanh Nhàn,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
52,130/KH-UBND,Tỉnh Bình Định,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Lâm Hải Giang,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
53,824/QĐ-UBND,Tỉnh Ninh Bình,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Song Tùng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
54,159/KH-UBND,Tỉnh Ninh Bình,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Tống Quang Thìn,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
55,1656/QĐ-UBND,Tỉnh Yên Bái,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Ngô Hạnh Phúc,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
56,202/KH-UBND,Tỉnh Yên Bái,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Thế Phước,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
57,7242/KH-UBND,Tỉnh Lâm Đồng,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Trần Văn Hiệp,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
58,2126/QĐ-UBND,Tỉnh Thái Bình,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Khắc Thận,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
59,68/NQ-HĐND,Tỉnh Khánh Hòa,Hết hiệu lực: 09/12/2022,Nghị quyết,0,23/09/2022,23/09/2022,23/09/2022,Nguyễn Khắc Toàn,Hết hiệu lực: 09/12/2022,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
60,2452/QĐ-BTNMT,Bộ Tài nguyên và Môi trường,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Trần Quý Kiên,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
61,1762/QĐ-UBND,Tỉnh Điện Biên,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Phạm Đức Toàn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
